URL,Snippet
https://www.nytimes.com/2018/03/30/technology/facebook-leaked-memo.html,"b'The social network\xe2\x80\x99s employees were abuzz on Friday over a 2016 memo from a top executive, in which the executive defended Facebook\xe2\x80\x99s growth at any cost.'",b'Facebook Employees in an Uproar Over Executive\xe2\x80\x99s Leaked Memo'
https://www.nytimes.com/2018/03/20/business/dealbook/facebook-data-cambridge-analytica.html,b'Fed policymakers conclude their March rate-setting meeting on Wednesday. It is the first such session with Jerome H. Powell as the central bank\xe2\x80\x99s new chairman.',b'What to Expect From Powell\xe2\x80\x99s First Fed Meeting: DealBook Briefing'
https://www.nytimes.com/2018/04/11/opinion/facebook-data-scandal-mercers.html,b'A reader says the people behind Cambridge Analytica should also get a congressional grilling.',b'The Facebook Data Scandal and the Mercers'
https://www.nytimes.com/2018/03/23/world/europe/cambridge-analytica-search-london-facebook.html,"b'The company harvested data from 50 million Facebook users to develop psychological profiles on behalf of political campaigns, including that of President Trump.'",b'British Authorities Search Offices of Cambridge Analytica'
https://www.nytimes.com/2018/03/19/business/dealbook/is-it-time-for-more-adult-supervision-at-facebook.html,"b'As the social network\xe2\x80\x99s list of woes grows, its 33-year-old founder, Mark Zuckerberg, will have to prove somehow he is not in way over his head.'",b'Is It Time for More Adult Supervision at Facebook?'
https://www.nytimes.com/2018/04/08/business/economic-forecast-facebook-testimony.html,"b'A delayed budget forecast is released and Mark Zuckerberg appears before Congress. Also, China\xe2\x80\x99s president is expected to unveil economic measures and President Trump travels to Peru.'",b'New Long-Term Economic Forecast and Facebook Founder Testimony'
https://www.nytimes.com/2018/01/31/technology/facebook-news-feed.html,"b'The social network, which is overhauling what people consume on the site, said its business would remain robust even if some users spent less time on its platform.'",b'Facebook Aims to Soothe Wall Street Over News Feed Changes'
https://www.nytimes.com/2018/03/19/business/dealbook/facebook-cambridge-analytica.html,b'Larry Ellison is teaming up with Dr. David Agus to start a hydroponic farming firm focused on creating more healthful food.',b'Oracle\xe2\x80\x99s Ellison Unveils Hydroponic Farming Start-Up: DealBook Briefing'
https://www.nytimes.com/2018/01/30/technology/facebook-cryptocurrency-ads.html,b'The social network said it wanted to prevent misleading or deceptive promotional practices.',b'Facebook Bans Ads for Bitcoin and Other Cryptocurrencies'
https://www.nytimes.com/2018/04/14/us/politics/diamond-silk-facebook.html,"b'The polarizing African-American sisters and internet celebrities have accused Facebook of discrimination, a charge the company denies.'",b'Who Are Diamond and Silk? A Look at 2 Pro-Trump Social Media Stars'
